date,close,volume,adjclose,symbol,market
2025-08-01,68900,24038534,68121.12,005930.KS,kospi
2025-08-04,69700,14780072,68912.09,005930.KS,kospi
2025-08-05,69900,14392903,69109.82,005930.KS,kospi
2025-08-06,68800,12542415,68022.26,005930.KS,kospi
2025-08-07,70500,15008213,69703.04,005930.KS,kospi
2025-08-08,71800,22241128,70988.35,005930.KS,kospi
2025-08-11,71000,11354253,70197.39,005930.KS,kospi
2025-08-12,71100,15797656,70296.26,005930.KS,kospi
2025-08-13,71900,12305742,71087.21,005930.KS,kospi
2025-08-14,71600,11946122,70790.61,005930.KS,kospi
2025-08-18,70000,13595591,69208.69,005930.KS,kospi
2025-08-19,70000,10533082,69208.69,005930.KS,kospi
2025-08-20,70500,17445516,69703.04,005930.KS,kospi
2025-08-21,70600,18843833,69801.91,005930.KS,kospi
2025-08-22,71400,9277432,70592.87,005930.KS,kospi
2025-08-25,71500,10345178,70691.74,005930.KS,kospi
2025-08-26,70300,14712519,69505.3,005930.KS,kospi
2025-08-27,70600,10523405,69801.91,005930.KS,kospi
2025-08-28,69600,11578024,68813.22,005930.KS,kospi
2025-08-29,69700,11682267,68912.09,005930.KS,kospi
2025-09-01,67600,12002343,66835.83,005930.KS,kospi
2025-09-02,69100,10604028,68318.87,005930.KS,kospi
2025-09-03,69800,10283009,69010.95,005930.KS,kospi
2025-09-04,70100,12284414,69307.57,005930.KS,kospi
2025-09-05,69500,11526724,68714.35,005930.KS,kospi
2025-09-08,70100,9263135,69307.57,005930.KS,kospi
2025-09-09,71500,14870245,70691.74,005930.KS,kospi
2025-09-10,72600,21928565,71779.3,005930.KS,kospi
2025-09-11,73400,20793501,72570.26,005930.KS,kospi
2025-09-12,75400,28219678,74547.65,005930.KS,kospi
2025-09-15,76500,19908805,75635.21,005930.KS,kospi
2025-09-16,79400,28218265,78502.44,005930.KS,kospi
2025-09-17,78200,20856317,77315.99,005930.KS,kospi
2025-09-18,80300,25619035,79392.26,005930.KS,kospi
2025-09-22,83500,27529656,82556.09,005930.KS,kospi
2025-09-23,84700,23610263,83742.52,005930.KS,kospi
2025-09-24,85400,18300997,84434.61,005930.KS,kospi
2025-09-25,86100,19665151,85126.7,005930.KS,kospi
2025-09-26,83300,24071193,82358.34,005930.KS,kospi
2025-09-29,84200,13069094,83619.59,005930.KS,kospi
2025-09-30,83900,16319061,83321.66,005930.KS,kospi
2025-10-01,86000,22039361,85407.19,005930.KS,kospi
2025-10-02,89750,49883028,89131.34,005930.KS,kospi
2025-10-10,94400,35269748,93749.28,005930.KS,kospi
2025-10-13,93300,23883308,92656.87,005930.KS,kospi
2025-10-14,91600,35545235,90968.59,005930.KS,kospi
2025-10-15,95000,21050111,94345.15,005930.KS,kospi
