as_of,close,pinned_date,pinned_vwap_mean,vwap_mean,diff_ratio,multiplier,cl12_base,cl12_stocks,cl12_eval,cl34_base,cl34_stocks,cl34_eval
2025-08-01,68900.0,2025-10-13,86051.1,68900.0,-19.93,0.0,200,0,0.0,300,0,0.0
2025-08-04,69700.0,2025-10-13,86051.1,69204.6,-19.58,0.0,200,0,0.0,300,0,0.0
2025-08-05,69900.0,2025-10-13,86051.1,69392.69,-19.36,0.0,200,0,0.0,300,0,0.0
2025-08-06,68800.0,2025-10-13,86051.1,69279.64,-19.49,0.0,200,0,0.0,300,0,0.0
2025-08-07,70500.0,2025-10-13,86051.1,69506.42,-19.23,0.0,200,0,0.0,300,0,0.0
2025-08-08,71800.0,2025-10-13,86051.1,70113.46,-18.52,0.0,200,0,0.0,300,0,0.0
2025-08-11,71000.0,2025-10-13,86051.1,70254.3,-18.36,0.0,200,0,0.0,300,0,0.0
2025-08-12,71100.0,2025-10-13,86051.1,70413.26,-18.17,0.0,200,0,0.0,300,0,0.0
2025-08-13,71900.0,2025-10-13,86051.1,70677.71,-17.87,0.0,200,0,0.0,300,0,0.0
2025-08-14,71600.0,2025-10-13,86051.1,70811.86,-17.71,0.0,200,0,0.0,300,0,0.0
2025-08-18,70000.0,2025-10-13,86051.1,70655.35,-17.89,0.0,200,0,0.0,300,0,0.0
2025-08-19,70000.0,2025-10-13,86051.1,70559.39,-18.0,0.0,200,0,0.0,300,0,0.0
2025-08-20,70500.0,2025-10-13,86051.1,70445.92,-18.13,0.0,200,0,0.0,300,0,0.0
2025-08-21,70600.0,2025-10-13,86051.1,70394.23,-18.19,0.0,200,0,0.0,300,0,0.0
2025-08-22,71400.0,2025-10-13,86051.1,70468.53,-18.11,0.0,200,0,0.0,300,0,0.0
2025-08-25,71500.0,2025-10-13,86051.1,70584.53,-17.97,0.0,200,0,0.0,300,0,0.0
2025-08-26,70300.0,2025-10-13,86051.1,70582.62,-17.98,0.0,200,0,0.0,300,0,0.0
2025-08-27,70600.0,2025-10-13,86051.1,70599.89,-17.96,0.0,200,0,0.0,300,0,0.0
2025-08-28,69600.0,2025-10-13,86051.1,70514.12,-18.06,0.0,200,0,0.0,300,0,0.0
2025-08-29,69700.0,2025-10-13,86051.1,70391.28,-18.2,0.0,200,0,0.0,300,0,0.0
2025-09-01,67600.0,2025-10-13,86051.1,70067.4,-18.57,0.0,200,0,0.0,300,0,0.0
2025-09-02,69100.0,2025-10-13,86051.1,69985.35,-18.67,0.0,200,0,0.0,300,0,0.0
2025-09-03,69800.0,2025-10-13,86051.1,69922.52,-18.74,0.0,200,0,0.0,300,0,0.0
2025-09-04,70100.0,2025-10-13,86051.1,69954.79,-18.71,0.0,200,0,0.0,300,0,0.0
2025-09-05,69500.0,2025-10-13,86051.1,69932.12,-18.73,0.0,200,0,0.0,300,0,0.0
2025-09-08,70100.0,2025-10-13,86051.1,70128.21,-18.5,0.0,200,0,0.0,300,0,0.0
2025-09-09,71500.0,2025-10-13,86051.1,70316.29,-18.29,0.0,200,0,0.0,300,0,0.0
2025-09-10,72600.0,2025-10-13,86051.1,70683.48,-17.86,0.0,200,0,0.0,300,0,0.0
2025-09-11,73400.0,2025-10-13,86051.1,71055.61,-17.43,0.0,200,0,0.0,300,0,0.0
2025-09-12,75400.0,2025-10-13,86051.1,71739.9,-16.63,0.0,200,0,0.0,300,0,0.0
2025-09-15,76500.0,2025-10-13,86051.1,72222.98,-16.07,0.0,200,0,0.0,300,0,0.0
2025-09-16,79400.0,2025-10-13,86051.1,73139.07,-15.01,0.0,200,0,0.0,300,0,0.0
2025-09-17,78200.0,2025-10-13,86051.1,73689.84,-14.37,0.0,200,0,0.0,300,0,0.0
2025-09-18,80300.0,2025-10-13,86051.1,74439.96,-13.49,0.0,200,0,0.0,300,0,0.0
2025-09-22,83500.0,2025-10-13,86051.1,75894.83,-11.8,0.0,200,0,0.0,300,0,0.0
2025-09-23,84700.0,2025-10-13,86051.1,76754.06,-10.8,0.0,200,0,0.0,300,0,0.0
2025-09-24,85400.0,2025-10-13,86051.1,77538.94,-9.89,0.0,200,0,0.0,300,0,0.0
2025-09-25,86100.0,2025-10-13,86051.1,78338.14,-8.96,0.0,200,0,0.0,300,0,0.0
2025-09-26,83300.0,2025-10-13,86051.1,78528.07,-8.74,0.0,200,0,0.0,300,0,0.0
2025-09-29,84200.0,2025-10-13,86051.1,78964.44,-8.24,0.0,200,0,0.0,300,0,0.0
2025-09-30,83900.0,2025-10-13,86051.1,79159.28,-8.01,0.0,200,0,0.0,300,0,0.0
2025-10-01,86000.0,2025-10-13,86051.1,79476.45,-7.64,0.0,200,0,0.0,300,0,0.0
2025-10-02,89750.0,2025-10-13,86051.1,80990.81,-5.88,0.0,200,0,0.0,300,0,0.0
2025-10-10,94400.0,2025-10-13,86051.1,85124.88,-1.08,0.0,200,0,0.0,300,0,0.0
2025-10-13,93300.0,2025-10-13,86051.1,86051.1,0.0,0.0,200,0,0.0,300,0,0.0
2025-10-14,91600.0,2025-10-13,86051.1,86198.67,0.17,0.0,200,0,0.0,300,0,0.0
2025-10-15,95000.0,2025-10-13,86051.1,86664.73,0.71,0.0,200,0,0.0,300,0,0.0
2025-10-16,97700.0,2025-10-13,86051.1,87563.69,1.76,0.0,200,0,0.0,300,0,0.0
2025-10-17,97900.0,2025-10-13,86051.1,88293.61,2.61,0.0,200,0,0.0,300,0,0.0
2025-10-20,98100.0,2025-10-13,86051.1,89296.29,3.77,0.0,200,0,0.0,300,0,0.0
2025-10-21,97500.0,2025-10-13,86051.1,90224.98,4.85,0.0,200,0,0.0,300,0,0.0
2025-10-22,98600.0,2025-10-13,86051.1,90751.55,5.46,0.0,200,0,0.0,300,0,0.0
2025-10-23,96500.0,2025-10-13,86051.1,91074.64,5.84,0.0,200,0,0.0,300,0,0.0
2025-10-24,98800.0,2025-10-13,86051.1,91484.91,6.31,0.0,200,0,0.0,300,0,0.0
2025-10-27,102000.0,2025-10-13,86051.1,92682.71,7.71,0.0,200,0,0.0,300,0,0.0
2025-10-28,99500.0,2025-10-13,86051.1,93112.09,8.21,0.0,200,0,0.0,300,0,0.0
2025-10-29,100500.0,2025-10-13,86051.1,93543.61,8.71,0.0,200,0,0.0,300,0,0.0
2025-10-30,104100.0,2025-10-13,86051.1,94829.45,10.2,0.0,200,0,0.0,300,0,0.0
2025-10-31,107500.0,2025-10-13,86051.1,96520.01,12.17,0.0,200,0,0.0,300,0,0.0
2025-11-03,111100.0,2025-10-13,86051.1,98417.53,14.37,0.0,200,0,0.0,300,0,0.0
2025-11-04,104900.0,2025-10-13,86051.1,98971.65,15.01,0.0,200,0,0.0,300,0,0.0
2025-11-05,100600.0,2025-10-13,86051.1,99013.61,15.06,0.0,200,0,0.0,300,0,0.0
2025-11-06,99200.0,2025-10-13,86051.1,98931.0,14.97,0.0,200,0,0.0,300,0,0.0
2025-11-07,97900.0,2025-10-13,86051.1,98295.81,14.23,0.0,200,0,0.0,300,0,0.0
2025-11-10,100600.0,2025-10-13,86051.1,97879.94,13.75,0.0,200,0,0.0,300,0,0.0
2025-11-11,103500.0,2025-10-13,86051.1,98186.46,14.1,0.0,200,0,0.0,300,0,0.0
2025-11-12,103100.0,2025-10-13,86051.1,98542.62,14.52,0.0,200,0,0.0,300,0,0.0
2025-11-13,102800.0,2025-10-13,86051.1,99066.21,15.12,0.0,200,0,0.0,300,0,0.0
2025-11-14,97200.0,2025-10-13,86051.1,99103.07,15.17,0.0,200,0,0.0,300,0,0.0
2025-11-17,100600.0,2025-10-13,86051.1,99754.02,15.92,0.0,200,0,0.0,300,0,0.0
2025-11-18,97800.0,2025-10-13,86051.1,99480.06,15.61,0.0,200,0,0.0,300,0,0.0
2025-11-19,96500.0,2025-10-13,86051.1,99134.17,15.2,0.0,200,0,0.0,300,0,0.0
2025-11-20,100600.0,2025-10-13,86051.1,99026.91,15.08,0.0,200,0,0.0,300,0,0.0
2025-11-21,94800.0,2025-10-13,86051.1,98773.07,14.78,0.0,200,0,0.0,300,0,0.0
2025-11-24,96700.0,2025-10-13,86051.1,98801.4,14.82,0.0,200,0,0.0,300,0,0.0
2025-11-25,99300.0,2025-10-13,86051.1,98963.2,15.01,0.0,200,0,0.0,300,0,0.0
2025-11-26,102800.0,2025-10-13,86051.1,99472.59,15.6,0.0,200,0,0.0,300,0,0.0
2025-11-27,103500.0,2025-10-13,86051.1,99737.43,15.9,0.0,200,0,0.0,300,0,0.0
