as_of,vwap_7d,days_7d,vwap_1m,days_1m,vwap_2m,days_2m,vwap_mean
2025-08-01,68900.0,1,68900.0,1,68900.0,1,68900.0
2025-08-04,69204.6,2,69204.6,2,69204.6,2,69204.6
2025-08-05,69392.69,3,69392.69,3,69392.69,3,69392.69
2025-08-06,69279.64,4,69279.64,4,69279.64,4,69279.64
2025-08-07,69506.42,5,69506.42,5,69506.42,5,69506.42
2025-08-08,70337.04,5,70001.67,6,70001.67,6,70113.46
2025-08-11,70561.33,5,70100.79,7,70100.79,7,70254.3
2025-08-12,70795.63,5,70222.07,8,70222.07,8,70413.26
2025-08-13,71299.11,5,70367.01,9,70367.01,9,70677.71
2025-08-14,71510.77,5,70462.4,10,70462.4,10,70811.86
2025-08-18,71116.08,4,70424.98,11,70424.98,11,70655.35
2025-08-19,70878.34,4,70399.91,12,70399.91,12,70559.39
2025-08-20,70520.11,4,70408.82,13,70408.82,13,70445.92
2025-08-21,70331.51,4,70425.59,14,70425.59,14,70394.23
2025-08-22,70473.74,5,70465.93,15,70465.93,15,70468.53
2025-08-25,70730.46,5,70511.56,16,70511.56,16,70584.53
2025-08-26,70749.73,5,70499.06,17,70499.06,17,70582.62
2025-08-27,70793.38,5,70503.15,18,70503.15,18,70599.89
2025-08-28,70613.13,5,70464.61,19,70464.61,19,70514.12
2025-08-29,70307.77,5,70433.04,20,70433.04,20,70391.28
2025-09-01,69566.71,5,70317.75,21,70317.75,21,70067.4
2025-09-02,69287.62,5,70392.94,21,70275.49,22,69985.35
2025-09-03,69135.49,5,70372.05,22,70260.01,23,69922.52
2025-09-04,69249.3,5,70361.06,23,70254.02,24,69954.79
2025-09-05,69207.4,5,70360.54,23,70228.43,25,69932.12
2025-09-08,69718.15,5,70441.45,21,70225.02,26,70128.21
2025-09-09,70285.78,5,70385.94,21,70277.14,27,70316.29
2025-09-10,71083.55,5,70557.68,22,70409.2,28,70683.48
2025-09-11,71852.21,5,70752.42,23,70562.19,29,71055.61
2025-09-12,73190.43,5,71153.03,23,70876.23,30,71739.9
2025-09-15,74084.45,5,71462.0,21,71122.5,31,72222.98
